model,fold,accuracy,precision,recall,f1_score,roc_auc
XGBoost,1,0.716256157635468,0.649331352154532,0.5624195624195624,0.6027586206896551,0.7856187620752664
XGBoost,2,0.7341115434500648,0.7117852975495916,0.623721881390593,0.6648501362397821,0.7979412237770271
XGBoost,3,0.6557235421166306,0.706140350877193,0.5490196078431373,0.6177458033573141,0.72809066518559
XGBoost,4,0.6221640488656196,0.633221850613155,0.5140271493212669,0.5674325674325674,0.6522672084840676
XGBoost,5,0.5900249376558604,0.4250238777459408,0.6691729323308271,0.5198598130841121,0.6744248681405005
Random Forest,1,0.7467980295566502,0.6839160839160839,0.6293436293436293,0.6554959785522788,0.7987111498683724
Random Forest,2,0.724167747514051,0.7058111380145279,0.5961145194274029,0.6463414634146342,0.7909932369813807
Random Forest,3,0.6695464362850972,0.6473988439306358,0.7638533674339301,0.7008212749315604,0.7369405464157794
Random Forest,4,0.6618673647469459,0.710997442455243,0.5031674208144796,0.5892951775304717,0.7470919882436806
Random Forest,5,0.5620947630922694,0.39209726443769,0.5819548872180451,0.4685230024213075,0.6288940635170015
SVM,1,0.770935960591133,0.6718061674008811,0.7850707850707851,0.7240356083086054,0.8320494134540424
SVM,2,0.6826632079550368,0.6234817813765182,0.6298568507157464,0.6266531027466938,0.750944371682636
SVM,3,0.7257019438444925,0.7190553745928339,0.7527706734867861,0.7355268638067471,0.768704192253312
SVM,4,0.6509598603839442,0.6437323279924599,0.6180995475113122,0.6306555863342567,0.7345736428198394
SVM,5,0.5810473815461347,0.41098677517802645,0.6075187969924812,0.49029126213592233,0.578803725732241
Logistic Regression,1,0.7354679802955665,0.7083333333333334,0.525096525096525,0.6031042128603105,0.817181107683901
Logistic Regression,2,0.6489407695633377,0.8487394957983193,0.2065439672801636,0.33223684210526316,0.7757733814327181
Logistic Regression,3,0.6773218142548596,0.634469696969697,0.8567774936061381,0.7290533188248096,0.7960466300279344
Logistic Regression,4,0.674956369982548,0.7479338842975206,0.49140271493212667,0.5931185144729656,0.7755351145707458
Logistic Regression,5,0.7850374064837905,0.6297117516629712,0.8541353383458646,0.7249521378430122,0.8801492537313432
